#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Fusarium graminearum PH-1","Eukaryota;Fungi;Ascomycetes","PH-1; NRRL 31084","SAMN02953593","PRJNA13839","GCA_000240135.3"," Chromosome",36.458,48.3278,"chromosome 1:NC_026474.1/CM000574.1; chromosome 2:NC_026475.1/CM000575.1; chromosome 3:NC_026476.1/CM000576.1; chromosome 4:NC_026477.1/CM000577.1","AACM02",31,13313,"2003-05-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/135/GCA_000240135.3_ASM24013v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/135/GCF_000240135.3_ASM24013v3"
"Blumeria graminis f. sp. tritici","Eukaryota;Fungi;Ascomycetes","","SAMEA4826857","PRJEB28180","GCA_900519115.1"," Chromosome",140.803,43.7484,"chromosome Bgt_-01:LR026984.1; chromosome Bgt_-02:LR026985.1; chromosome Bgt_-03:LR026986.1; chromosome Bgt_-04:LR026987.1; chromosome Bgt_-05:LR026988.1; chromosome Bgt_-06:LR026989.1; chromosome Bgt_-07:LR026990.1; chromosome Bgt_-08:LR026991.1; chromosome Bgt_-09:LR026992.1; chromosome Bgt_-10:LR026993.1; chromosome Bgt_-11:LR026994.1; chromosome Bgt_-Un:LR026995.1",,12,8347,"2019-01-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/519/115/GCA_900519115.1_Bgt_genome_v3.16",
"Moniliophthora perniciosa FA553","Eukaryota;Fungi;Basidiomycetes","FA553","SAMN02953729","PRJNA28951","GCA_000183025.1","Scaffold",26.6633,47.7,,"ABRE01",25056,13560,"2008-12-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/025/GCA_000183025.1_ASM18302v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/025/GCF_000183025.1_ASM18302v1"
"Alternaria brassicicola","Eukaryota;Fungi;Ascomycetes","Abra43","SAMN08032350","PRJNA418710","GCA_002796735.1","Contig",31.0365,50.8,,"PHFN01",29,0,"2017-11-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/796/735/GCA_002796735.1_ASM279673v1",
"Puccinia triticina 1-1 BBBD Race 1","Eukaryota;Fungi;Basidiomycetes","1-1 BBBD Race 1","SAMN02981248","PRJNA36323","GCA_000151525.2","Scaffold",135.344,36.8,,"ADAS02",14818,15685,"2009-11-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/525/GCA_000151525.2_P_triticina_1_1_V2",
"Colletotrichum graminicola M1.001","Eukaryota;Fungi;Ascomycetes","M1.001","SAMN02953757","PRJNA37879","GCA_000149035.1","Scaffold",51.6443,49.0853,"mitochondrion MT:NW_007361658.1/CM001021.1","ACOD01",654,12020,"2009-08-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/035/GCA_000149035.1_C_graminicola_M1_001_V1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/035/GCF_000149035.1_C_graminicola_M1_001_V1"
"Phanerochaete carnosa HHB-10118-sp","Eukaryota;Fungi;Basidiomycetes","HHB-10118-sp","SAMN02981278","PRJNA38425","GCA_000300595.1","Scaffold",46.2933,52.9,,"AEHB01",1137,13925,"2012-10-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/595/GCA_000300595.1_Phanerochaete_carnosa_HHB-10118-Sp_v1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/595/GCF_000300595.1_Phanerochaete_carnosa_HHB-10118-Sp_v1.0"
"Magnaporthiopsis poae ATCC 64411","Eukaryota;Fungi;Ascomycetes","ATCC 64411","SAMN02981251","PRJNA37933","GCA_000193285.1","Scaffold",39.6418,55.9,,"ADBL01",206,12329,"2011-03-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/285/GCA_000193285.1_Mag_poae_ATCC_64411_V1",
"Microbotryum violaceum","Eukaryota;Fungi;Basidiomycetes","1252","SAMEA3706527","PRJEB12080","GCA_900015485.1","Contig",39.9002,55.5,,"FBRW01",156,0,"2016-12-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/015/485/GCA_900015485.1_MvSp-1252-A2-R1",
"Bipolaris maydis ATCC 48331","Eukaryota;Fungi;Ascomycetes","ATCC 48331","SAMN00113370","PRJNA295860","GCA_000354255.1","Scaffold",32.9292,50.7,,"AIHU01",207,12705,"2013-04-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/354/255/GCA_000354255.1_CocheC4_1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/354/255/GCF_000354255.1_CocheC4_1"
"Melampsora larici-populina 98AG31","Eukaryota;Fungi;Basidiomycetes","98AG31","SAMN02744053","PRJNA46711","GCA_000204055.1","Scaffold",101.129,41.3,,"AECX01",462,16372,"2011-04-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/055/GCA_000204055.1_v1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/055/GCF_000204055.1_v1.0"
"Erysiphe pisi","Eukaryota;Fungi;Ascomycetes","","SAMEA2272766","PRJEA50315","GCA_000208805.1","Contig",69.261,39.2,,"CACM01",35300,0,"2011-02-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/208/805/GCA_000208805.1_ASM20880v1",
"Sphaerulina musiva SO2202","Eukaryota;Fungi;Ascomycetes","SO2202","SAMN00120232","PRJNA51781","GCA_000320565.2","Scaffold",29.3521,51.1,,"AEFD01",72,10156,"2012-10-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/320/565/GCA_000320565.2_Septoria_musiva_SO2202_v1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/320/565/GCF_000320565.1_Septoria_musiva_SO2202_v1.0"
"Zymoseptoria passerinii SP63","Eukaryota;Fungi;Ascomycetes","SP63","SAMN02981330","PRJNA63049","GCA_000223825.2","Contig",28.7863,53.6,,"AFIY01",1517,0,"2011-08-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/825/GCA_000223825.2_ASM22382v2",
"Epichloe glyceriae E277","Eukaryota;Fungi;Ascomycetes","E277","SAMN02981346","PRJNA67247","GCA_000225285.2","Contig",46.723,45,,"AFRG01",3076,0,"2011-09-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/285/GCA_000225285.2_EpiGly_1.0",
"Aciculosporium take MAFF-241224","Eukaryota;Fungi;Ascomycetes","MAFF-241224","SAMN02981340","PRJNA67241","GCA_000222935.2","Contig",58.8364,40.1,,"AFQZ01",3298,0,"2011-08-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/222/935/GCA_000222935.2_AciTa_1.0",
"Epichloe typhina E8","Eukaryota;Fungi;Ascomycetes","E8","SAMN02981456","PRJNA174036","GCA_000308955.1","Contig",41.4386,41.5,,"AMDI01",2744,0,"2012-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/308/955/GCA_000308955.1_ETyphina_1.0",
"Moniliophthora roreri","Eukaryota;Fungi;Basidiomycetes","MCA 2952","SAMN03437778","PRJNA279170","GCA_001466705.1","Scaffold",57.3844,46.5,,"LATX01",2557,20131,"2015-12-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/466/705/GCA_001466705.1_ASM146670v1",
"Sporisorium reilianum f. sp. reilianum","Eukaryota;Fungi;Basidiomycetes","SRS1_H2-8","SAMEA79720168","PRJEB19311","GCA_900162835.1"," Chromosome",18.5226,59.467,"chromosome I:LT795054.1; chromosome II:LT795055.1; chromosome III:LT795056.1; chromosome IV:LT795057.1; chromosome V:LT795058.1; chromosome VI:LT795059.1; chromosome VII:LT795060.1; chromosome VIII:LT795061.1; chromosome IX:LT795062.1; chromosome X:LT795063.1; chromosome XI:LT795064.1; chromosome XII:LT795065.1; chromosome XIII:LT795066.1; chromosome XIV:LT795067.1; chromosome XIX:LT795072.1; chromosome XV:LT795068.1; chromosome XVI:LT795069.1; chromosome XVII:LT795070.1; chromosome XVIII:LT795071.1; chromosome XX:LT795073.1; chromosome XXI:LT795074.1; chromosome XXII:LT795075.1; chromosome XXIII:LT795076.1",,23,6682,"2018-02-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/162/835/GCA_900162835.1_version_2",
"Fusarium circinatum","Eukaryota;Fungi;Ascomycetes","FSP 34","SAMN02371877","PRJNA41113","GCA_000497325.3"," Chromosome",43.9492,47.4374,"chromosome 1:CM004511.1; chromosome 2:CM004512.1; chromosome 3:CM004513.1; chromosome 4:CM004514.1; chromosome 5:CM004515.1; chromosome 6:CM004516.1; chromosome 7:CM004517.1; chromosome 8:CM004518.1; chromosome 9:CM004519.1; chromosome 10:CM004520.1; chromosome 11:CM004521.1; chromosome 12:CM010400.1","AYJV02",422,0,"2013-11-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/497/325/GCA_000497325.3_ASM49732v3",
"Colletotrichum higginsianum IMI 349063","Eukaryota;Fungi;Ascomycetes","IMI 349063","SAMN04420120","PRJNA47061","GCA_001672515.1"," Chromosome",50.7161,54.4088,"chromosome 1:NC_030954.1/CM004455.1; chromosome 2:NC_030955.1/CM004456.1; chromosome 3:NC_030956.1/CM004457.1; chromosome 4:NC_030957.1/CM004458.1; chromosome 5:NC_030958.1/CM004459.1; chromosome 6:NC_030959.1/CM004460.1; chromosome 8:NC_030960.1/CM004461.1; chromosome 9:NC_030961.1/CM004462.1; chromosome 10:NC_030962.1/CM004463.1; chromosome 11:NC_030963.1/CM004464.1; chromosome 12:NC_030964.1/CM004465.1","LTAN01",25,14650,"2016-06-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/672/515/GCA_001672515.1_ASM167251v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/672/515/GCF_001672515.1_ASM167251v1"
"Penicillium expansum","Eukaryota;Fungi;Ascomycetes","MD-8","SAMN02928573","PRJNA319326","GCA_000769745.1","Contig",32.356,47.5,,"JQFZ01",382,11060,"2014-10-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/769/745/GCA_000769745.1_ASM76974v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/769/745/GCF_000769745.1_ASM76974v1"
"Leptosphaeria maculans JN3","Eukaryota;Fungi;Ascomycetes","v23.1.3","","PRJNA63129","GCA_000230375.1","Contig",45.1246,45.3,,,76,12469,"2010-11-17T23:05:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/375/GCA_000230375.1_ASM23037v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/375/GCF_000230375.1_ASM23037v1"
"Ceratocystis fimbriata CBS 114723","Eukaryota;Fungi;Ascomycetes","CBS 114723","SAMN01985854","PRJNA67151","GCA_000389695.3","Scaffold",30.16,47.6,,"APWK03",399,7266,"2013-05-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/389/695/GCA_000389695.3_Cfim3.0",
"Rhizoctonia solani AG-3 Rhs1AP","Eukaryota;Fungi;Basidiomycetes","AG-3","SAMN02981579","PRJNA73133","GCA_000524645.1","Scaffold",51.7059,48.4,,"JATN01",326,12726,"2014-01-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/524/645/GCA_000524645.1_Rhizoctonia_solani_AG-3",
"Dothistroma septosporum NZE10","Eukaryota;Fungi;Ascomycetes","NZE10","SAMN02981403","PRJNA74753","GCA_000340195.1","Scaffold",30.2094,53.1,,"AIEN01",20,12415,"2013-02-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/195/GCA_000340195.1_Dothistroma_septosporum_NZE10_v1.0",
"Alternaria arborescens","Eukaryota;Fungi;Ascomycetes","FERA 675","SAMN06205217","PRJNA531023","GCA_004154835.1","Scaffold",33.9434,51.1,,"PDUP01",325,12923,"2019-02-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/154/835/GCA_004154835.1_ASM415483v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/154/835/GCF_004154835.1_ASM415483v1"
"Macrophomina phaseolina","Eukaryota;Fungi;Ascomycetes","M11-12","SAMN08294525","PRJNA428521","GCA_008729105.1","Scaffold",51.2956,51.8,,"PPFZ01",60,0,"2019-09-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/729/105/GCA_008729105.1_Macrophomina_strawberry_v1",
"Sphaerulina populicola P02.02b","Eukaryota;Fungi;Ascomycetes","p02.02b","SAMN02981402","PRJNA81737","GCA_000291705.1","Scaffold",33.1888,50.2,,"AIDU01",502,0,"2012-08-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/291/705/GCA_000291705.1_sPop_v1",
"Heterobasidion annosum","Eukaryota;Fungi;Basidiomycetes","","SAMEA3323518","PRJEB8921","GCA_001457955.1","Scaffold",27.9883,52.9,,"CVKZ01",14,0,"2015-11-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/457/955/GCA_001457955.1_BM42NG",
"Penicillium digitatum Pd1","Eukaryota;Fungi;Ascomycetes","Pd1","SAMN02981416","PRJNA302315","GCA_000315645.2","Scaffold",26.0532,48.8738,"mitochondrion MT:CM001644.1","AKCU01",53,8961,"2012-11-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/645/GCA_000315645.2_PdigPd1_v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/645/GCF_000315645.1_PdigPd1_v1"
"Bipolaris zeicola 26-R-13","Eukaryota;Fungi;Ascomycetes","26-R-13","SAMN02981449","PRJNA245123","GCA_000523435.1","Scaffold",31.2679,50.8,,"AMCN01",844,12853,"2014-01-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/523/435/GCA_000523435.1_Cochliobolus_carbonum_v1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/523/435/GCF_000523435.1_Cochliobolus_carbonum_v1.0"
"Heterobasidion irregulare TC 32-1","Eukaryota;Fungi;Basidiomycetes","TC 32-1","SAMN02743865","PRJNA46703","GCA_000320585.2","Scaffold",33.65,52.2,,"AEOJ01",15,13275,"2012-06-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/320/585/GCA_000320585.2_Heterobasidion_irregulare_v2.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/320/585/GCF_000320585.1_Heterobasidion_irregulare_v2.0"
"Colletotrichum orbiculare MAFF 240422","Eukaryota;Fungi;Ascomycetes","104-T","SAMN02981452","PRJNA171217","GCA_000350065.2","Scaffold",89.7483,36.8,,"AMCV02",355,13253,"2013-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/350/065/GCA_000350065.2_KSG_Corb_v2",
"Cercospora canescens BHU","Eukaryota;Fungi;Ascomycetes","BHU","SAMN02981488","PRJNA183604","GCA_000347735.1","Contig",33.9672,52,,"ANSM01",8239,0,"2013-03-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/347/735/GCA_000347735.1_C_canescens_MTCC-10836_BHU_v01",
"Neofusicoccum parvum UCRNP2","Eukaryota;Fungi;Ascomycetes","UCRNP2","SAMN01906718","PRJNA244484","GCA_000385595.1","Scaffold",42.5928,56.7,,"AORE01",1297,10366,"2013-04-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/595/GCA_000385595.1_UCRNP2V3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/385/595/GCF_000385595.1_UCRNP2V3"
"Phaeoacremonium minimum UCRPA7","Eukaryota;Fungi;Ascomycetes","UCRPA7","SAMN01908518","PRJNA245153","GCA_000392275.1","Scaffold",47.4654,49.6,,"AORD01",624,8834,"2013-05-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/275/GCA_000392275.1_UCRPA7V03","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/275/GCF_000392275.1_UCRPA7V03"
"Colletotrichum fioriniae","Eukaryota;Fungi;Ascomycetes","HC89","SAMN08289069","PRJNA270309","GCA_002930455.1","Scaffold",50.1509,51.1,,"PNFH01",315,0,"2018-02-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/930/455/GCA_002930455.1_ASM293045v1",
"Colletotrichum gloeosporioides","Eukaryota;Fungi;Ascomycetes","SMCG1#C","SAMN09205517","PRJNA471237","GCA_003243855.1","Scaffold",61.9165,50.3,,"QFRH01",18,0,"2018-06-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/243/855/GCA_003243855.1_ASM324385v1",
